reference_policy,baseline_policy,metric_name,optimization_direction,sample_count,reference_mean,baseline_mean,raw_difference_mean,improvement_mean,improvement_ci_low,improvement_ci_high,ci_excludes_zero,effect_size_dz,win_count,tie_count,loss_count,raw_p_value,holm_adjusted_p_value,significant_0_05,conclusion
Double-DQN,Fixed-SINGLE,episode_reward,higher,50,-2.5299175857777785,-2.203686666666667,-0.3262309191111112,-0.3262309191111112,-0.38647469854222216,-0.26680251128888877,True,-1.4804580103419598,4,0,46,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-COLD,episode_reward,higher,50,-2.5299175857777785,-2.5775609191111113,0.047643333333333364,0.047643333333333364,-0.020152416666666586,0.11917772222222218,False,0.1884570811130146,25,0,25,0.18894055297235138,0.37788110594470276,False,差异不显著
Double-DQN,Fixed-HOT,episode_reward,higher,50,-2.5299175857777785,-3.1665742524444442,0.6366566666666666,0.6366566666666666,0.5456808333333332,0.7262019444444442,True,1.9493365705876504,49,0,1,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-DYNAMIC,episode_reward,higher,50,-2.5299175857777785,-2.6090331413333336,0.07911555555555547,0.07911555555555547,0.024136055555555532,0.13490786111111078,True,0.3854679110288107,28,0,22,0.009299535023248838,0.027898605069746514,True,Double-DQN显著更优
Double-DQN,Rule-Based,episode_reward,higher,50,-2.5299175857777785,-2.566837585777778,0.036919999999999974,0.036919999999999974,-0.01988566666666667,0.08981113888888885,False,0.18272906058506178,32,0,18,0.20193990300484976,0.37788110594470276,False,差异不显著
Double-DQN,Fixed-SINGLE,request_success_rate,higher,50,0.9889130434782609,0.9202173913043478,0.06869565217391305,0.06869565217391305,0.057391304347826085,0.0808695652173913,True,1.6187869822543126,48,2,0,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-COLD,request_success_rate,higher,50,0.9889130434782609,0.9889130434782609,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Fixed-HOT,request_success_rate,higher,50,0.9889130434782609,0.9889130434782609,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Fixed-DYNAMIC,request_success_rate,higher,50,0.9889130434782609,0.9889130434782609,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Rule-Based,request_success_rate,higher,50,0.9889130434782609,0.9889130434782609,0.0,0.0,0.0,0.0,False,0.0,0,50,0,1.0,1.0,False,差异不显著
Double-DQN,Fixed-SINGLE,sla_violation_rate,lower,50,0.04896551724137931,0.07586206896551724,-0.026896551724137935,0.026896551724137935,0.0203448275862069,0.033793103448275866,True,1.101290019512992,34,16,0,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-COLD,sla_violation_rate,lower,50,0.04896551724137931,0.07586206896551724,-0.026896551724137935,0.026896551724137935,0.020344827586206895,0.03379310344827586,True,1.101290019512992,34,16,0,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Fixed-HOT,sla_violation_rate,lower,50,0.04896551724137931,0.009310344827586206,0.039655172413793106,-0.039655172413793106,-0.04793103448275863,-0.03137931034482759,True,-1.3211820031781714,0,9,41,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-DYNAMIC,sla_violation_rate,lower,50,0.04896551724137931,0.06482758620689656,-0.015862068965517243,0.015862068965517243,0.010689655172413793,0.02137931034482759,True,0.8070200784585078,28,20,2,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更优
Double-DQN,Rule-Based,sla_violation_rate,lower,50,0.04896551724137931,0.029310344827586206,0.019655172413793106,-0.019655172413793106,-0.02517241379310345,-0.014482758620689658,True,-1.0300419107431362,0,17,33,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
Double-DQN,Fixed-SINGLE,average_delay_ms,lower,50,220.56950324673755,150.01333425033172,70.5561689964058,-70.5561689964058,-84.84905281021601,-56.48724433340767,True,-1.3629703283984058,0,2,48,4.999750012499375e-05,0.00024998750062496874,True,Double-DQN显著更差
