episode,episode_seed,reward,average_reward_20,epsilon,average_loss,decision_count,replay_size,single_count,cold_count,hot_count,dynamic_count
1,10000,-2.447952924444445,-2.447952924444445,1.0,0.0,13,13,0,4,6,3
2,10001,-2.6605088355555555,-2.5542308800000004,0.9956818181818182,0.0,13,26,0,4,5,4
3,10002,-2.3073897244444446,-2.471950494814815,0.9913636363636363,0.0,13,39,0,5,3,5
4,10003,-2.5331743111111114,-2.487256448888889,0.9870454545454546,0.0,13,52,0,6,4,3
5,10004,-2.710635928888889,-2.5319323448888893,0.9827272727272728,0.0,13,65,0,5,3,5
6,10005,-2.986205297777778,-2.6076445037037037,0.9784090909090909,0.0,13,78,0,2,4,7
7,10006,-2.988637706666667,-2.6620721041269846,0.9740909090909091,0.0,13,91,0,5,6,2
8,10007,-2.2213069511111114,-2.6069764600000003,0.9697727272727272,0.0,13,104,0,6,2,5
9,10008,-2.8254000177777785,-2.631245744197531,0.9654545454545455,0.0,13,117,0,8,2,3
10,10009,-2.2193230044444445,-2.590053470222222,0.9611363636363637,0.014189251388112703,13,130,0,3,3,7
11,10010,-2.716063697777778,-2.6015089454545457,0.9568181818181818,0.004633635049685836,13,143,0,4,5,4
12,10011,-2.6205111288888894,-2.603092460740741,0.9525,0.0021997786915073027,13,156,0,5,4,4
13,10012,-3.3956473955555553,-2.664058224957265,0.9481818181818182,0.0028385288941745576,13,169,0,6,2,5
14,10013,-2.927266684444445,-2.6828588292063493,0.9438636363636363,0.0031924785759586552,13,182,0,6,5,2
15,10014,-2.854211822222222,-2.694282362074074,0.9395454545454546,0.0029784356637929496,13,195,0,6,3,4
16,10015,-3.378704995555556,-2.7370587766666667,0.9352272727272728,0.003331570483099383,13,208,0,6,6,1
17,10016,-2.5535862577777784,-2.726266275555556,0.9309090909090909,0.004575158899220137,13,221,0,4,3,6
18,10017,-2.7758294577777782,-2.7290197856790126,0.9265909090909091,0.009629479752710233,13,234,0,4,4,5
19,10018,-3.0115952177777783,-2.743892176842106,0.9222727272727272,0.007954274913152823,13,247,0,4,3,6
20,10019,-2.6368632000000005,-2.7385407280000007,0.9179545454545455,0.006698837467970757,13,260,0,5,3,5
21,10020,-3.5769156800000004,-2.794988865777778,0.9136363636363636,0.00583331326309305,13,273,0,5,4,4
22,10021,-3.220218080000001,-2.8229743280000004,0.9093181818181818,0.006706104022808946,13,286,0,6,4,3
23,10022,-2.779488551111111,-2.8465792693333336,0.905,0.005747609682237873,13,299,0,2,6,5
24,10023,-2.4764154311111115,-2.8437413253333337,0.9006818181818181,0.005496560667569821,13,312,0,7,3,3
25,10024,-3.0431066311111112,-2.8603648604444443,0.8963636363636364,0.005566656911888948,13,325,0,5,0,8
26,10025,-2.813855911111111,-2.8517473911111115,0.8920454545454546,0.009702532265621882,13,338,0,3,7,3
27,10026,-2.6252559111111116,-2.8335783013333335,0.8877272727272727,0.006662679209302251,13,351,0,3,5,5
28,10027,-3.0648574222222225,-2.8757558248888895,0.8834090909090909,0.006485530211088749,13,364,0,5,3,5
29,10028,-2.6413694577777784,-2.8665542968888893,0.8790909090909091,0.005060991343970482,13,377,0,5,6,2
30,10029,-2.6828057777777774,-2.8897284355555564,0.8747727272727273,0.005569435709800858,13,390,0,6,3,4
31,10030,-2.798630577777778,-2.8938567795555565,0.8704545454545455,0.004493499264264336,13,403,0,2,4,7
32,10031,-2.7154242488888896,-2.898602435555556,0.8661363636363637,0.004661505003101551,13,416,0,4,3,6
33,10032,-2.5740563911111116,-2.857522885333334,0.8618181818181818,0.004947185713367967,13,429,0,6,6,1
34,10033,-3.2318880711111118,-2.8727539546666674,0.8575,0.00846648646088747,13,442,0,4,4,5
35,10034,-3.1943438222222222,-2.889760554666667,0.8531818181818182,0.0065525360763646085,13,455,0,2,7,4
36,10035,-2.538194186666667,-2.8477350142222226,0.8488636363636364,0.006144805596424983,13,468,0,3,4,6
37,10036,-2.4052593777777784,-2.840318670222223,0.8445454545454545,0.006068627367942379,13,481,0,3,5,5
38,10037,-2.558134524444445,-2.8294339235555563,0.8402272727272727,0.005658219622161526,13,494,0,4,5,4
39,10038,-2.586896124444445,-2.808198968888889,0.8359090909090909,0.0056823956995056225,13,507,0,7,2,4
40,10039,-2.5097016711111113,-2.801840892444445,0.831590909090909,0.005078164000923817,13,520,0,5,3,5
41,10040,-3.145194204444445,-2.780254818666667,0.8272727272727273,0.007205887840917477,13,533,0,5,5,3
42,10041,-2.5926559111111107,-2.7488767102222225,0.8229545454545455,0.00707579948581182,13,546,0,5,3,5
43,10042,-2.514332142222223,-2.7356188897777782,0.8186363636363636,0.005517283705278085,13,559,0,4,3,6
44,10043,-2.919001386666667,-2.7577481875555554,0.8143181818181818,0.004494092642114713,13,572,0,4,4,5
