episode,episode_seed,reward,average_reward_20,epsilon,average_loss,decision_count,replay_size,single_count,cold_count,hot_count,dynamic_count
1,10000,-2.314619591111111,-2.314619591111111,1.0,0.0,13,13,3,4,4,2
2,10001,-2.81895328,-2.5667864355555556,0.9956818181818182,0.0,13,26,4,3,3,3
3,10002,-2.2573897244444447,-2.4636541985185185,0.9913636363636363,0.0,13,39,3,4,1,5
4,10003,-2.3803260444444447,-2.4428221600000004,0.9870454545454546,0.0,13,52,4,3,3,3
5,10004,-3.033790844444445,-2.561015896888889,0.9827272727272728,0.0,13,65,4,3,3,3
6,10005,-2.7362052977777784,-2.5902141303703705,0.9784090909090909,0.0,13,78,1,5,1,6
7,10006,-3.300591591111111,-2.691696624761905,0.9740909090909091,0.0,13,91,5,3,3,2
8,10007,-2.5966402844444443,-2.6798145822222224,0.9697727272727272,0.0,13,104,4,4,0,5
9,10008,-2.9424880711111117,-2.709000525432099,0.9654545454545455,0.0,13,117,5,3,2,3
10,10009,-3.159159377777778,-2.754016410666667,0.9611363636363637,0.010087571106851101,13,130,3,2,5,3
11,10010,-2.8287303644444446,-2.760808588282828,0.9568181818181818,0.010999636652951058,13,143,3,4,3,3
12,10011,-2.5966605688888893,-2.7471295866666665,0.9525,0.010785631405619474,13,156,3,5,2,3
13,10012,-3.542189884444445,-2.8082880711111113,0.9481818181818182,0.012501443019853188,13,169,5,2,2,4
14,10013,-3.0772666844444445,-2.8275008292063495,0.9438636363636363,0.007042777867844472,13,182,5,2,4,2
15,10014,-2.8948003555555553,-2.8319874642962963,0.9395454545454546,0.009820795546357449,13,195,6,2,2,3
16,10015,-3.6733563733333336,-2.8845730211111116,0.9352272727272728,0.008637773696906291,13,208,4,5,3,1
17,10016,-2.653586257777778,-2.8709855644444446,0.9309090909090909,0.011526202890448846,13,221,1,3,3,6
18,10017,-2.7482069511111114,-2.864164530370371,0.9265909090909091,0.011144227563188626,13,234,4,2,3,4
19,10018,-2.810683271111112,-2.8613497272514623,0.9222727272727272,0.007735106198546978,13,247,4,3,2,4
20,10019,-2.680633333333333,-2.8523139075555557,0.9179545454545455,0.008574970603848878,13,260,1,5,4,3
21,10020,-3.7627046577777783,-2.9247181608888893,0.9136363636363636,0.006541914467771466,13,273,4,3,3,3
22,10021,-2.7328238933333338,-2.920411691555556,0.9093181818181818,0.005864140022402773,13,286,6,4,1,2
