time_slot,position_m,serving_mec,next_mec,handover_occurred,request_count,placement_node_ids,prewarm_target_node_ids,prewarm_start_count,prewarm_startup_overhead_ms,prewarm_hit_count,prewarm_waste_count,cold_start_count,warm_hit_count,expiration_count,transmission_delay_ms,cold_start_delay_ms,execution_delay_ms,end_to_end_delay_ms,deadline_met,warm_instance_count,warm_memory_mb
0,0.0,0,1,False,0,"[0, 0, 0]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0.0
1,69.44,0,1,False,1,"[0, 0, 0]",[],0,0.0,0,0,3,0,0,0.0,1600.0,95.0,1695.0,False,3,1536.0
2,138.88,0,1,False,0,"[0, 0, 0]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
3,208.32,0,1,False,2,"[0, 0, 0]",[],0,0.0,0,0,0,3,0,0.0,0.0,190.0,190.0,True,3,1536.0
4,277.76,0,1,False,1,"[0, 0, 0]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
5,347.2,0,1,False,0,"[0, 0, 0]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
6,416.64,0,1,False,0,"[0, 0, 0]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
7,486.08,0,1,False,3,"[0, 0, 0]",[],0,0.0,0,0,0,3,0,0.0,0.0,285.0,285.0,True,3,1536.0
8,555.52,0,1,False,0,"[0, 0, 0]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
9,624.96,0,1,False,1,"[0, 0, 0]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
10,694.4000000000001,0,1,False,0,"[0, 0, 0]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
11,763.8400000000001,0,1,False,1,"[0, 0, 0]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
12,833.2800000000002,0,1,False,0,"[0, 0, 0]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
13,902.7200000000003,0,1,False,2,"[0, 0, 0]",[],0,0.0,0,0,0,3,0,0.0,0.0,190.0,190.0,True,3,1536.0
14,972.1600000000003,0,1,False,1,"[0, 0, 0]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
15,1041.6000000000004,1,2,True,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
16,1111.0400000000004,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
17,1180.4800000000005,1,2,False,3,"[1, 1, 1]",[],0,0.0,0,0,3,0,0,0.0,1600.0,285.0,1885.0,False,6,3072.0
18,1249.9200000000005,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,6,3072.0
19,1319.3600000000006,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,3,0.0,0.0,95.0,95.0,True,3,1536.0
20,1388.8000000000006,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
21,1458.2400000000007,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
22,1527.6800000000007,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
23,1597.1200000000008,1,2,False,2,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,190.0,190.0,True,3,1536.0
24,1666.5600000000009,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
25,1736.000000000001,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
26,1805.440000000001,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
27,1874.880000000001,1,2,False,3,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,285.0,285.0,True,3,1536.0
28,1944.320000000001,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
29,2013.7600000000011,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
30,2083.200000000001,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
31,2152.6400000000012,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
32,2222.0800000000013,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
33,2291.5200000000013,1,2,False,2,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,190.0,190.0,True,3,1536.0
34,2360.9600000000014,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
35,2430.4000000000015,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
36,2499.8400000000015,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
37,2569.2800000000016,1,2,False,3,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,285.0,285.0,True,3,1536.0
38,2638.7200000000016,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
39,2708.1600000000017,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
40,2777.6000000000017,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
41,2847.040000000002,1,2,False,1,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
42,2916.480000000002,1,2,False,0,"[1, 1, 1]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
43,2985.920000000002,1,2,False,2,"[1, 1, 1]",[],0,0.0,0,0,0,3,0,0.0,0.0,190.0,190.0,True,3,1536.0
44,3055.360000000002,2,3,True,1,"[2, 2, 2]",[],0,0.0,0,0,3,0,0,0.0,1600.0,95.0,1695.0,False,6,3072.0
45,3124.800000000002,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,6,3072.0
46,3194.240000000002,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,6,3072.0
47,3263.680000000002,2,3,False,3,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,285.0,285.0,True,6,3072.0
48,3333.120000000002,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,,3,1536.0
49,3402.560000000002,2,3,False,1,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
50,3472.0000000000023,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
51,3541.4400000000023,2,3,False,1,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
52,3610.8800000000024,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
53,3680.3200000000024,2,3,False,2,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,190.0,190.0,True,3,1536.0
54,3749.7600000000025,2,3,False,1,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
55,3819.2000000000025,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
56,3888.6400000000026,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
57,3958.0800000000027,2,3,False,3,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,285.0,285.0,True,3,1536.0
58,4027.5200000000027,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
59,4096.960000000003,2,3,False,1,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
60,4166.400000000002,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
61,4235.840000000002,2,3,False,1,"[2, 2, 2]",[],0,0.0,0,0,0,3,0,0.0,0.0,95.0,95.0,True,3,1536.0
62,4305.280000000002,2,3,False,0,"[2, 2, 2]",[],0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,3,1536.0
