policy_id,time_slot,request_count,before_status,after_status,cold_start_occurred,prewarm_occurred,warm_hit,expired,idle_slots_after,request_delay_ms,delay_cost,retention_cost,prewarm_cost,total_cost
on_demand,0,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,1,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,2,2,absent,warm,True,False,False,False,0,330.0,330.0,0.0,0.0,330.0
on_demand,3,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
on_demand,4,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,5,1,absent,warm,True,False,False,False,0,315.0,315.0,0.0,0.0,315.0
on_demand,6,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
on_demand,7,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,8,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,9,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,10,3,absent,warm,True,False,False,False,0,345.0,345.0,0.0,0.0,345.0
on_demand,11,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
on_demand,12,1,absent,warm,True,False,False,False,0,315.0,315.0,0.0,0.0,315.0
on_demand,13,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
on_demand,14,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,15,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,16,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,17,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,18,2,absent,warm,True,False,False,False,0,330.0,330.0,0.0,0.0,330.0
on_demand,19,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
on_demand,20,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,21,1,absent,warm,True,False,False,False,0,315.0,315.0,0.0,0.0,315.0
on_demand,22,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
on_demand,23,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,24,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,25,4,absent,warm,True,False,False,False,0,360.0,360.0,0.0,0.0,360.0
on_demand,26,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
on_demand,27,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
on_demand,28,1,absent,warm,True,False,False,False,0,315.0,315.0,0.0,0.0,315.0
on_demand,29,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
fixed_window,0,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
fixed_window,1,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
fixed_window,2,2,absent,warm,True,False,False,False,0,330.0,330.0,0.0,0.0,330.0
fixed_window,3,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
fixed_window,4,0,warm,warm,False,False,False,False,2,0.0,0.0,25.6,0.0,25.6
fixed_window,5,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
fixed_window,6,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
fixed_window,7,0,warm,warm,False,False,False,False,2,0.0,0.0,25.6,0.0,25.6
fixed_window,8,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
fixed_window,9,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
fixed_window,10,3,absent,warm,True,False,False,False,0,345.0,345.0,0.0,0.0,345.0
fixed_window,11,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
fixed_window,12,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
fixed_window,13,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
fixed_window,14,0,warm,warm,False,False,False,False,2,0.0,0.0,25.6,0.0,25.6
fixed_window,15,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
fixed_window,16,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
fixed_window,17,0,absent,absent,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
fixed_window,18,2,absent,warm,True,False,False,False,0,330.0,330.0,0.0,0.0,330.0
fixed_window,19,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
fixed_window,20,0,warm,warm,False,False,False,False,2,0.0,0.0,25.6,0.0,25.6
fixed_window,21,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
fixed_window,22,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
fixed_window,23,0,warm,warm,False,False,False,False,2,0.0,0.0,25.6,0.0,25.6
fixed_window,24,0,warm,absent,False,False,False,True,0,0.0,0.0,0.0,0.0,0.0
fixed_window,25,4,absent,warm,True,False,False,False,0,360.0,360.0,0.0,0.0,360.0
fixed_window,26,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
fixed_window,27,0,warm,warm,False,False,False,False,2,0.0,0.0,25.6,0.0,25.6
fixed_window,28,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
fixed_window,29,0,warm,warm,False,False,False,False,1,0.0,0.0,25.6,0.0,25.6
always_warm,0,0,absent,warm,True,True,False,False,0,0.0,0.0,25.6,1200.0,1225.6
always_warm,1,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,2,2,warm,warm,False,False,True,False,0,30.0,30.0,0.0,0.0,30.0
always_warm,3,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,4,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,5,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
always_warm,6,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,7,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,8,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,9,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,10,3,warm,warm,False,False,True,False,0,45.0,45.0,0.0,0.0,45.0
always_warm,11,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,12,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
always_warm,13,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,14,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,15,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,16,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,17,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,18,2,warm,warm,False,False,True,False,0,30.0,30.0,0.0,0.0,30.0
always_warm,19,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,20,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,21,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
always_warm,22,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,23,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,24,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,25,4,warm,warm,False,False,True,False,0,60.0,60.0,0.0,0.0,60.0
always_warm,26,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,27,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
always_warm,28,1,warm,warm,False,False,True,False,0,15.0,15.0,0.0,0.0,15.0
always_warm,29,0,warm,warm,False,False,False,False,0,0.0,0.0,25.6,0.0,25.6
