scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,cold_start_function_stages,total_cold_start_delay_ms,slow_decision_updates,slow_mode_switches,total_request_delay_cost,total_memory_cost,total_cold_start_cost,total_sla_penalty,total_slow_control_cost,total_system_cost
fixed_single,0,5000,0.8804347826086957,0.10344827586206896,147.98076923076923,285.0,1536.0,1536.0,0,0.0,1,0,7695.0,1797.1200000000001,0.0,30000.0,770.0,40262.12
fixed_cold,0,5000,0.967391304347826,0.10344827586206896,296.6067368421053,1775.448,1601.6410256410256,3072.0,15,8000.0,1,0,16906.584000000003,1873.92,1600.0,30000.0,770.0,51150.504
fixed_hot,0,5000,0.967391304347826,0.017241379310344827,156.25585964912278,285.0,3072.0,3072.0,0,0.0,1,0,8906.584,3594.2400000000002,0.0,5000.0,770.0,18270.824
fixed_dynamic,0,5000,0.967391304347826,0.10344827586206896,296.6067368421053,1775.448,1811.6923076923076,3072.0,15,8000.0,1,0,16906.584000000003,2119.68,1600.0,30000.0,770.0,51396.264
two_timescale,0,5000,0.967391304347826,0.08620689655172414,268.5365614035088,1775.448,2205.5384615384614,3072.0,12,6400.0,13,4,15306.583999999999,2580.48,1280.0,25000.0,1010.0,45177.064
fixed_single,1,5001,0.9456521739130435,0.06896551724137931,153.05555555555554,285.0,1536.0,1536.0,0,0.0,1,0,8265.0,1797.1200000000001,0.0,20000.0,770.0,30832.120000000003
fixed_cold,1,5001,1.0,0.06896551724137931,266.8662068965518,1775.448,1588.5128205128206,3072.0,12,6400.0,1,0,15478.240000000002,1858.56,1280.0,20000.0,770.0,39386.8
fixed_hot,1,5001,1.0,0.0,156.52137931034483,285.0,3072.0,3072.0,0,0.0,1,0,9078.24,3594.2400000000002,0.0,0.0,770.0,13442.48
fixed_dynamic,1,5001,1.0,0.06896551724137931,266.8662068965518,1775.448,1798.5641025641025,3072.0,12,6400.0,1,0,15478.240000000002,2104.32,1280.0,20000.0,770.0,39632.56
two_timescale,1,5001,1.0,0.017241379310344827,184.10758620689654,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10678.240000000002,2534.4,320.0,5000.0,1010.0,19542.64
fixed_single,2,5002,0.8152173913043478,0.1724137931034483,148.4375,285.0,1536.0,1536.0,0,0.0,1,0,7125.0,1797.1200000000001,0.0,50000.0,770.0,59692.12
fixed_cold,2,5002,1.0,0.1724137931034483,442.6140689655173,1887.4959999999999,1667.2820512820513,3072.0,30,16000.0,1,0,25671.616,1950.72,3200.0,50000.0,770.0,81592.33600000001
fixed_hot,2,5002,1.0,0.0,166.752,287.496,3072.0,3072.0,0,0.0,1,0,9671.616,3594.2400000000002,0.0,0.0,770.0,14035.856
fixed_dynamic,2,5002,1.0,0.1724137931034483,442.6140689655173,1887.4959999999999,1877.3333333333333,3072.0,30,16000.0,1,0,25671.616,2196.48,3200.0,50000.0,770.0,81838.096
two_timescale,2,5002,1.0,0.08620689655172414,304.68303448275867,1779.448,2218.6666666666665,3072.0,15,8000.0,13,4,17671.615999999998,2595.84,1600.0,25000.0,1010.0,47877.456
fixed_single,3,5003,0.9456521739130435,0.034482758620689655,147.58928571428572,285.0,1536.0,1536.0,0,0.0,1,0,8265.0,1797.1200000000001,0.0,10000.0,770.0,20832.120000000003
fixed_cold,3,5003,0.967391304347826,0.034482758620689655,178.10343859649123,285.0,1549.128205128205,3072.0,3,1600.0,1,0,10151.896,1812.48,320.0,10000.0,770.0,23054.376
fixed_hot,3,5003,0.967391304347826,0.017241379310344827,150.03326315789474,285.0,3072.0,3072.0,0,0.0,1,0,8551.896,3594.2400000000002,0.0,5000.0,770.0,17916.136
fixed_dynamic,3,5003,0.967391304347826,0.034482758620689655,178.10343859649123,285.0,1759.179487179487,3072.0,3,1600.0,1,0,10151.896,2058.2400000000002,320.0,10000.0,770.0,23300.136
two_timescale,3,5003,0.967391304347826,0.034482758620689655,178.10343859649123,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10151.896,2534.4,320.0,10000.0,1010.0,24016.296000000002
fixed_single,4,5004,0.9130434782608695,0.08620689655172414,150.56603773584905,285.0,1536.0,1536.0,0,0.0,1,0,7980.0,1797.1200000000001,0.0,25000.0,770.0,35547.12
fixed_cold,4,5004,1.0,0.08620689655172414,296.4066206896552,1775.448,1601.6410256410256,3072.0,15,8000.0,1,0,17191.584000000003,1873.92,1600.0,25000.0,770.0,46435.504
fixed_hot,4,5004,1.0,0.0,158.47558620689657,285.0,3072.0,3072.0,0,0.0,1,0,9191.584,3594.2400000000002,0.0,0.0,770.0,13555.824
fixed_dynamic,4,5004,1.0,0.06896551724137931,268.82041379310346,1775.448,1798.5641025641025,3072.0,12,6400.0,1,0,15591.584,2104.32,1280.0,20000.0,770.0,39745.904
two_timescale,4,5004,1.0,0.05172413793103448,241.2342068965517,604.909599999998,2192.4102564102564,3072.0,9,4800.0,13,4,13991.584,2565.12,960.0,15000.0,1010.0,33526.704
fixed_single,5,5005,0.9456521739130435,0.06896551724137931,153.05555555555554,285.0,1536.0,1536.0,0,0.0,1,0,8265.0,1797.1200000000001,0.0,20000.0,770.0,30832.120000000003
fixed_cold,5,5005,0.9891304347826086,0.06896551724137931,240.39985964912282,583.0895999999937,1575.3846153846155,3072.0,9,4800.0,1,0,13702.792000000001,1843.2,960.0,20000.0,770.0,37275.992
